"","AR","Camber","Re","ARFac","CamberFac","ReFac","speeds","ARnumber","CLCD","Caoa","slope","yint","gamma","gaoa","Efficiency"
"1",3.2290144,0.1,105000,"3.2290144","0.1","105000",15.75,1,6.93866352975054,3.0679,0.0336782645652855,0.411074323678808,8.20087077028355,3.0652,0.540393016666667
"2",3.3038872,0.042264973,105000,"3.3038872","0.042264973","105000",15.75,2,10.0527006859774,1.6536,0.0358179168980273,0.23135361766691,5.68068116843545,1.6497,0.546816836363636
"3",3.3038872,0.1,50151.724,"3.3038872","0.1","50151.724",7.5227586,2,7.06662453899749,2.9419,0.0344473462477821,0.418343444122047,8.05433644602411,2.9391,0.543414445454545
"4",3.3038872,0.1,105000,"3.3038872","0.1","105000",15.75,2,7.28022951460488,2.965,0.0344473462477821,0.418343444122047,7.82096473384806,2.9629,0.543414445454545
"5",3.3038872,0.1,159848.28,"3.3038872","0.1","159848.28",23.977242,2,6.55572627372107,2.9591,0.0344473462477821,0.418343444122047,8.67291021076279,2.9584,0.543414445454545
"6",3.3038872,0.15773503,105000,"3.3038872","0.15773503","105000",15.75,2,5.21814955782276,1.6401,0.0333963423024736,0.613564484003062,10.8485475333199,1.6399,0.540093956060606
"7",3.4221907,0.022540333,105000,"3.4221907","0.022540333","105000",15.75,3,10.6114454613597,2.8635,0.0374107501513412,0.164222446894896,5.38333702792415,2.8666,0.553074103030303
"8",3.4221907,0.042264973,50151.724,"3.4221907","0.042264973","50151.724",7.5227586,3,10.2600889802697,1.597,0.0369636049786035,0.237528622617681,5.56657468525671,1.5929,0.551162278787879
"9",3.4221907,0.042264973,105000,"3.4221907","0.042264973","105000",15.75,3,10.8285230230328,1.3385,0.0369636049786035,0.237528622617681,5.27591249169679,1.3329,0.551162278787879
"10",3.4221907,0.042264973,159848.28,"3.4221907","0.042264973","159848.28",23.977242,3,9.09950770951974,2.3147,0.0369636049786035,0.237528622617681,6.27133607093147,2.3137,0.551162278787879
"11",3.4221907,0.1,31413.316,"3.4221907","0.1","31413.316",4.7119974,3,7.25625087247025,2.763,0.0355777324078906,0.428972777817208,7.846507675879,2.7602,0.547766513636364
"12",3.4221907,0.1,50151.724,"3.4221907","0.1","50151.724",7.5227586,3,7.48249840427757,2.7581,0.0355777324078906,0.428972777817208,7.61204054664734,2.756,0.547766513636364
"13",3.4221907,0.1,105000,"3.4221907","0.1","105000",15.75,3,7.55262874262423,2.7219,0.0355777324078906,0.428972777817208,7.5421890442891,2.7205,0.547766513636364
"14",3.4221907,0.1,159848.28,"3.4221907","0.1","159848.28",23.977242,3,6.38657222930273,2.8479,0.0355777324078906,0.428972777817208,8.89899869090815,2.8475,0.547766513636364
"15",3.4221907,0.1,178586.68,"3.4221907","0.1","178586.68",26.788002,3,6.71838641153877,2.8313,0.0355777324078906,0.428972777817208,8.46600838935312,2.8307,0.547766513636364
"16",3.4221907,0.15773503,50151.724,"3.4221907","0.15773503","50151.724",7.5227586,3,5.35408084683658,1.552,0.0345158745329298,0.628827652190098,10.5794183818841,1.5516,0.544473671212121
"17",3.4221907,0.15773503,105000,"3.4221907","0.15773503","105000",15.75,3,5.40984719349033,1.6417,0.0345158745329298,0.628827652190098,10.4727851729452,1.6414,0.544473671212121
"18",3.4221907,0.15773503,159848.28,"3.4221907","0.15773503","159848.28",23.977242,3,5.17843570027077,1.0381,0.0345158745329298,0.628827652190098,10.929746121516,1.0378,0.544473671212121
"19",3.4221907,0.17745967,105000,"3.4221907","0.17745967","105000",15.75,3,5.02002698186884,0.4628,0.0356562363010124,0.69067670627979,11.2659546124051,0.4626,0.548210274242424
"20",3.6248866,0.013886369,105000,"3.6248866","0.013886369","105000",15.75,4,10.4941964635163,2.1573,0.0400300484666739,0.132973584214973,5.4422930077218,2.1549,0.56214976875
"21",3.6248866,0.022540333,50151.724,"3.6248866","0.022540333","50151.724",7.5227586,4,10.9416036267168,2.7998,0.0392661519987475,0.171316644309919,5.22166036362512,2.8053,0.559869522727273
"22",3.6248866,0.022540333,105000,"3.6248866","0.022540333","105000",15.75,4,11.6489774730421,2.4534,0.039304138548951,0.171192554912588,4.90626184946284,2.4576,0.559973155384615
"23",3.6248866,0.022540333,159848.28,"3.6248866","0.022540333","159848.28",23.977242,4,9.58857363398486,3.4593,0.0393788515504992,0.170955949715182,5.95349848561552,3.4638,0.560177682539683
"24",3.6248866,0.042264973,31413.316,"3.6248866","0.042264973","31413.316",4.7119974,4,10.5973496508717,1.5159,0.0388093201544724,0.24742442702919,5.39046087339055,1.5115,0.557967674242424
"25",3.6248866,0.042264973,50151.724,"3.6248866","0.042264973","50151.724",7.5227586,4,11.1913889281829,1.248,0.0388093201544724,0.24742442702919,5.1057370360615,1.2421,0.557967674242424
"26",3.6248866,0.042264973,105000,"3.6248866","0.042264973","105000",15.75,4,11.3394215773444,1.1884,0.0388093201544724,0.24742442702919,5.0394026534408,1.1825,0.557967674242424
"27",3.6248866,0.042264973,159848.28,"3.6248866","0.042264973","159848.28",23.977242,4,8.62334729158397,2.8033,0.0388093201544724,0.24742442702919,6.61464521457479,2.8025,0.557967674242424
"28",3.6248866,0.042264973,178586.68,"3.6248866","0.042264973","178586.68",26.788002,4,9.38919362472337,2.2346,0.0388093201544724,0.24742442702919,6.07931298266656,2.2334,0.557967674242424
"29",3.6248866,0.066001896,105000,"3.6248866","0.066001896","105000",15.75,4,9.49143552793964,1.6233,0.038338229360192,0.324542443064399,6.01418033744046,1.6193,0.556833568181818
"30",3.6248866,0.1,23192.05,"3.6248866","0.1","23192.05",3.4788075,4,7.27960313645385,2.6216,0.037568594110023,0.445453123326293,7.821731389339,2.6206,0.555113106349206
"31",3.6248866,0.1,31413.316,"3.6248866","0.1","31413.316",4.7119974,4,7.56577517670669,2.5102,0.037568594110023,0.445453123326293,7.52929240479078,2.508,0.555113106349206
"32",3.6248866,0.1,50151.724,"3.6248866","0.1","50151.724",7.5227586,4,7.73028104136403,2.4858,0.037568594110023,0.445453123326293,7.37081037255156,2.4835,0.555113106349206
"33",3.6248866,0.1,72701.801,"3.6248866","0.1","72701.801",10.90527015,4,7.81221781084217,2.4864,0.037568594110023,0.445453123326293,7.29433098111979,2.4846,0.555113106349206
"34",3.6248866,0.1,105000,"3.6248866","0.1","105000",15.75,4,7.88607696894876,2.4369,0.037568594110023,0.445453123326293,7.22674468264342,2.4355,0.555113106349206
"35",3.6248866,0.1,137298.2,"3.6248866","0.1","137298.2",20.59473,4,7.92420641853603,2.3945,0.037568594110023,0.445453123326293,7.1923438039828,2.3934,0.555113106349206
